 NODE_NUM  TIME  DATE   X Y A_CONC     B_CONC    C_CONC
 315           0.00 01/01/2024       5.00     686.07     0.0000     0.0000     0.0000
 316           0.00 01/01/2024       0.00     685.01     0.0000     0.0000     0.0000
 317           0.00 01/01/2024       0.75     685.01     0.0000     0.0000     0.0000
 318           0.00 01/01/2024       1.80     685.01     0.0000     0.0000     0.0000
 319           0.00 01/01/2024       3.27     685.01     0.0000     0.0000     0.0000
 320           0.00 01/01/2024       5.00     685.01     0.0000     0.0000     0.0000
 321           0.00 01/01/2024       0.00     683.94     0.0000     0.0000     0.0000
 322           0.00 01/01/2024       0.75     683.94     0.0000     0.0000     0.0000
 323           0.00 01/01/2024       1.80     683.94     0.0000     0.0000     0.0000
 324           0.00 01/01/2024       3.27     683.94     0.0000     0.0000     0.0000
 325           0.00 01/01/2024       5.00     683.94     0.0000     0.0000     0.0000
 326           0.00 01/01/2024       0.00     682.88     0.0000     0.0000     0.0000
 327           0.00 01/01/2024       0.75     682.88     0.0000     0.0000     0.0000
 328           0.00 01/01/2024       1.80     682.88     0.0000     0.0000     0.0000
 329           0.00 01/01/2024       3.27     682.88     0.0000     0.0000     0.0000
 330           0.00 01/01/2024       5.00     682.88     0.0000     0.0000     0.0000
 331           0.00 01/01/2024       0.00     681.81     0.0000     0.0000     0.0000
 332           0.00 01/01/2024       0.75     681.81     0.0000     0.0000     0.0000
 333           0.00 01/01/2024       1.80     681.81     0.0000     0.0000     0.0000
 334           0.00 01/01/2024       3.27     681.81     0.0000     0.0000     0.0000
 335           0.00 01/01/2024       5.00     681.81     0.0000     0.0000     0.0000
 336           0.00 01/01/2024       0.00     680.74     0.0000     0.0000     0.0000
 337           0.00 01/01/2024       0.75     680.74     0.0000     0.0000     0.0000
 338           0.00 01/01/2024       1.80     680.74     0.0000     0.0000     0.0000
 339           0.00 01/01/2024       3.27     680.74     0.0000     0.0000     0.0000
 340           0.00 01/01/2024       5.00     680.74     0.0000     0.0000     0.0000
 341           0.00 01/01/2024       0.00     679.67     0.0000     0.0000     0.0000
 342           0.00 01/01/2024       0.75     679.67     0.0000     0.0000     0.0000
 343           0.00 01/01/2024       1.80     679.67     0.0000     0.0000     0.0000
 344           0.00 01/01/2024       3.27     679.67     0.0000     0.0000     0.0000
 345           0.00 01/01/2024       5.00     679.67     0.0000     0.0000     0.0000
 346           0.00 01/01/2024       0.00     678.60     0.0000     0.0000     0.0000
 347           0.00 01/01/2024       0.75     678.60     0.0000     0.0000     0.0000
 348           0.00 01/01/2024       1.80     678.60     0.0000     0.0000     0.0000
 349           0.00 01/01/2024       3.27     678.60     0.0000     0.0000     0.0000
 350           0.00 01/01/2024       5.00     678.60     0.0000     0.0000     0.0000
 351           0.00 01/01/2024       0.00     677.53     0.0000     0.0000     0.0000
 352           0.00 01/01/2024       0.75     677.53     0.0000     0.0000     0.0000
 353           0.00 01/01/2024       1.80     677.53     0.0000     0.0000     0.0000
 354           0.00 01/01/2024       3.27     677.53     0.0000     0.0000     0.0000
 355           0.00 01/01/2024       5.00     677.53     0.0000     0.0000     0.0000
 356           0.00 01/01/2024       0.00     676.46     0.0000     0.0000     0.0000
 357           0.00 01/01/2024       0.75     676.46     0.0000     0.0000     0.0000
 358           0.00 01/01/2024       1.80     676.46     0.0000     0.0000     0.0000
 359           0.00 01/01/2024       3.27     676.46     0.0000     0.0000     0.0000
 360           0.00 01/01/2024       5.00     676.46     0.0000     0.0000     0.0000
 361           0.00 01/01/2024       0.00     675.38     0.0000     0.0000     0.0000
 362           0.00 01/01/2024       0.75     675.38     0.0000     0.0000     0.0000
 363           0.00 01/01/2024       1.80     675.38     0.0000     0.0000     0.0000
 364           0.00 01/01/2024       3.27     675.38     0.0000     0.0000     0.0000
 365           0.00 01/01/2024       5.00     675.38     0.0000     0.0000     0.0000
 366           0.00 01/01/2024       0.00     674.31     0.0000     0.0000     0.0000
 367           0.00 01/01/2024       0.75     674.31     0.0000     0.0000     0.0000
 368           0.00 01/01/2024       1.80     674.31     0.0000     0.0000     0.0000
 369           0.00 01/01/2024       3.27     674.31     0.0000     0.0000     0.0000
 370           0.00 01/01/2024       5.00     674.31     0.0000     0.0000     0.0000
 371           0.00 01/01/2024       0.00     673.23     0.0000     0.0000     0.0000
 372           0.00 01/01/2024       0.75     673.23     0.0000     0.0000     0.0000
 373           0.00 01/01/2024       1.80     673.23     0.0000     0.0000     0.0000
 374           0.00 01/01/2024       3.27     673.23     0.0000     0.0000     0.0000
